task,test_loss,test_accuracy,test_roc_auc,test_runtime,test_samples_per_second,test_steps_per_second,instance_count
analogical_similarity,1.9460018873214722,0.06153846153846101,0.49969211822660103,7.1298,9.117,1.262,65.0
cause_and_effect,0.6932797431945801,0.5161290322580641,,1.0308,30.072,3.88,31.0
common_morpheme,1.386384129524231,0.30000000000000004,,0.6525000000000001,15.325,3.065,10.0
conceptual_combinations,1.38615345954895,0.23809523809523803,,1.3353000000000002,15.727,2.247,21.0
crash_blossom,1.386294364929199,0.0,,0.5108,15.663,1.9580000000000002,8.0
cryobiology_spanish,0.692612290382385,0.7931034482758621,,0.9694,29.915,4.126,29.0
emojis_emotion_prediction,2.079046726226806,0.5,,0.2728,7.332,3.666,2.0
english_russian_proverbs,1.386193037033081,0.4375,0.546620046620046,1.026,15.594,1.949,16.0
entailed_polarity,0.693192422389984,0.36666666666666603,,1.0879,27.576999999999998,3.677,30.0
entailed_polarity_hindi,0.6931692361831661,0.392857142857142,0.7222222222222221,0.9486,29.517,4.217,28.0
fact_checker,0.693112134933471,0.5454545454545451,0.6077777777777771,5.4486,30.283,3.854,165.0
fantasy_reasoning,0.693136274814605,0.5,0.5089285714285711,1.3334000000000001,29.998,3.75,40.0
figure_of_speech_detection,2.302451610565185,0.25,,2.2184,5.409,0.902,12.0
hinglish_toxicity,0.693045318126678,0.55,0.56060606060606,1.3341,29.984,3.748,40.0
human_organs_senses,1.387010335922241,0.125,0.098214285714285,0.5232,15.291,1.911,8.0
implicit_relations,3.218759536743164,0.0,,6.5687999999999995,2.588,0.457,17.0
intent_recognition,1.946176171302795,0.057553956834532,0.261039677150853,14.9308,9.31,1.206,139.0
international_phonetic_alphabet_nli,1.098634719848632,0.36,0.326388888888888,1.2319,20.295,3.247,25.0
known_unknowns,0.693344831466674,0.44444444444444403,0.25,0.3307,27.217,6.048,9.0
logical_args,1.60922110080719,0.33333333333333304,,0.4857,12.354,2.059,6.0
mathematical_induction,0.6931632757186891,0.42857142857142805,0.385416666666666,0.4811,29.098,4.157,14.0
metaphor_understanding,1.386247515678405,0.276595744680851,,2.9589,15.884,2.028,47.0
multiemo,1.386271476745605,0.31313131313131304,0.45929457305976806,12.622,15.687,1.9809999999999999,198.0
persian_idioms,1.386703372001648,0.23076923076923,0.23321678321678302,0.8477,15.336,2.359,13.0
phrase_relatedness,1.38620638847351,0.30000000000000004,0.511637382225617,1.2878,15.531,2.33,20.0
play_dialog_same_or_different,0.6931241750717161,0.609756097560975,0.49835,6.7931,30.178,3.827,205.0
presuppositions_as_nli,1.098526358604431,0.414965986394557,0.553077973613687,7.0277,20.917,2.7039999999999997,147.0
riddle_sense,1.609725952148437,0.2,0.287301587301587,0.8109000000000001,12.332,2.466,10.0
salient_translation_error_detection,1.791751503944397,0.20500000000000002,0.485513325913674,18.616,10.743,1.343,200.0
sentence_ambiguity,0.6931736469268791,0.33333333333333304,0.6875,0.4237,28.323,4.72,12.0
swahili_english_proverbs,1.3866122961044312,0.16129032258064502,,1.9574,15.838,2.044,31.0
swedish_to_german_proverbs,1.386162519454956,0.35714285714285704,0.518695590124161,0.993,14.098,2.014,14.0
timedial,1.098623394966125,0.24390243902439002,,9.8067,20.904,2.651,205.0
what_is_the_tao,0.693109571933746,0.7142857142857141,0.8,0.2494,28.073,4.01,7.0
