task,test_loss,test_accuracy,test_roc_auc,test_runtime,test_samples_per_second,test_steps_per_second,instance_count
bbq_lite_json,1.098601341247558,0.371287128712871,0.522754857732598,9.7193,20.783,2.675,202.0
cause_and_effect,0.6930935382843011,0.48387096774193505,,1.031,30.068,3.88,31.0
common_morpheme,1.386283278465271,0.30000000000000004,0.547619047619047,0.6687000000000001,14.954,2.991,10.0
conceptual_combinations,1.38630199432373,0.33333333333333304,,1.3487,15.571,2.224,21.0
crash_blossom,1.386383295059204,0.0,,0.5147,15.542,1.943,8.0
cryobiology_spanish,0.692939639091491,0.7931034482758621,,0.9756,29.727,4.1,29.0
dark_humor_detection,0.6932080984115601,0.375,0.399999999999999,0.5481,29.194,3.649,16.0
emoji_movie,1.609463930130004,0.1,,1.5756000000000001,12.694,1.904,20.0
emojis_emotion_prediction,2.0792429447174072,0.5,,0.5138,7.785,1.9460000000000002,4.0
empirical_judgments,1.098591566085815,0.4,0.618819444444444,0.9828,20.35,3.052,20.0
entailed_polarity,0.693100214004516,0.533333333333333,,1.0025,29.926,3.99,30.0
fact_checker,0.693144559860229,0.503030303030303,0.530864197530864,5.4708,30.16,3.839,165.0
fantasy_reasoning,0.6931518316268921,0.5,0.39520202020202005,1.3437999999999999,29.766,3.721,40.0
figure_of_speech_detection,2.302523851394653,0.16666666666666602,,2.3289,5.153,0.859,12.0
hinglish_toxicity,0.6931630969047541,0.375,0.42857142857142805,1.3437999999999999,29.766,3.721,40.0
human_organs_senses,1.386302947998046,0.125,0.332738095238095,0.5252,15.233,1.904,8.0
implicatures,0.693142473697662,0.561224489795918,0.39477040816326503,3.2686,29.982,3.977,98.0
implicit_relations,3.218821048736572,0.11764705882352901,,6.6751000000000005,2.547,0.449,17.0
intent_recognition,1.945899128913879,0.129496402877697,0.49395600783161203,15.0024,9.265,1.2,139.0
international_phonetic_alphabet_nli,1.098636746406555,0.24,0.469419703103913,1.2496,20.007,3.201,25.0
irony_identification,0.693147182464599,0.55,0.46875000000000006,0.6890000000000001,29.027,4.354,20.0
logical_args,1.609471321105957,0.16666666666666602,,0.4932,12.165,2.028,6.0
mathematical_induction,0.6931717991828911,0.21428571428571402,0.37777777777777705,0.4853,28.847,4.121,14.0
metaphor_boolean,0.693167209625244,0.338235294117647,0.48266178266178206,4.5008,30.217,3.777,136.0
metaphor_understanding,1.386278510093689,0.25531914893617,,2.9934000000000003,15.701,2.004,47.0
misconceptions,0.693117141723632,0.636363636363636,0.6336842105263151,1.4937,29.457,4.017,44.0
multiemo,1.386289596557617,0.25252525252525204,0.43308542648694004,12.5893,15.728,1.986,198.0
phrase_relatedness,1.386144042015075,0.5,0.69866452991453,1.2901,15.502,2.325,20.0
riddle_sense,1.60946774482727,0.1,0.37579365079365,0.8143,12.281,2.456,10.0
salient_translation_error_detection,1.791759371757507,0.16,0.5149379278168811,18.8147,10.63,1.329,200.0
sentence_ambiguity,0.6931347250938411,0.75,0.481481481481481,0.42410000000000003,28.292,4.715,12.0
simple_ethical_questions,1.386177778244018,0.347826086956521,,1.4746000000000001,15.597,2.034,23.0
sports_understanding,0.693153202533721,0.46192893401015206,0.5020483193277311,6.5127,30.248,3.839,197.0
strategyqa,0.6931406855583191,0.5121951219512191,0.5412848415425731,6.7959,30.165,3.826,205.0
suicide_risk,1.386308908462524,0.25,0.40714285714285703,0.5327000000000001,15.017,1.877,8.0
swahili_english_proverbs,1.386297106742858,0.29032258064516103,,1.9703,15.733,2.03,31.0
swedish_to_german_proverbs,1.3862965106964111,0.14285714285714202,0.43156288156288103,0.9163,15.28,2.183,14.0
temporal_sequences,1.38630735874176,0.25,,12.7931,15.633,1.9540000000000002,200.0
timedial,1.098590970039367,0.380487804878048,,9.9403,20.623,2.616,205.0
unit_interpretation,1.609449744224548,0.2,0.505069444444444,1.5888,12.588,1.888,20.0
winowhy,0.6931549906730651,0.424390243902439,0.568647949024293,6.8105,30.101,3.818,205.0
